experiment_mode,seed,delta,filter,failed,failure_message,number_of_updates,final_time,armse_post_update,mean_nees,median_nees,mean_nis,median_nis,mean_covariance_trace,median_covariance_trace,mean_covariance_condition,median_covariance_condition,mean_iterations_used,max_iterations_used,mean_roundtrip_relative_error,max_roundtrip_relative_error,measurement_model,state_dimension,measurement_dimension
fixed_updates,1195,0.2,SR-EKF,0,,5,1.0,3.4784510865519924,33031380.52372092,31371856.45393733,2404350.3816013513,726915.5108684696,9.63695023510336e-07,7.060187112430621e-07,3.0052259531239653,3.507057558240579,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1195,0.2,IDEKF,0,,5,1.0,3.835421560377107,22024136.143845618,17954614.254022054,1626260.5563567712,353381.606894418,1.912192736882975e-06,1.693799337026442e-06,3.6785313007712928,3.0468348458500536,5.0,5,1.9868405310865487e-17,7.019882914987711e-17,nonlin_cubic,2,2
fixed_updates,1196,0.2,EKF,0,,5,1.0,1.182705271520265,1858072.21902146,660696.1523277799,1120495.5582978753,3511.4848555114336,2.9499908329285712e-06,2.682114744333757e-06,5.229660431049247,4.389756740678893,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1196,0.2,SR-EKF,0,,5,1.0,1.1827052715210042,1858072.2190232687,660696.152327847,1120495.5582983117,3511.4848555557464,2.9499908329197256e-06,2.682114744300377e-06,5.22966043121068,4.389756740677448,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1196,0.2,IDEKF,0,,5,1.0,0.9547146548002464,1258136.2984525817,522122.4892795352,208623.5956020314,3904.9409562843543,1.9839448281328027e-05,1.6896957924632478e-05,25.8257523179987,19.68166135952469,5.0,5,6.749790952848438e-17,2.1027936607110952e-16,nonlin_cubic,2,2
fixed_updates,1197,0.2,EKF,0,,5,1.0,3.8991805277390337,5173337.196618451,379178.56953050994,3740183.4284773124,29591.57840451502,4.8772931038509665e-06,2.860664621896917e-06,7.760552013801013,4.389756740678893,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1197,0.2,SR-EKF,0,,5,1.0,3.899180527744072,5173337.196624379,379178.56954963296,3740183.428475839,29591.578404508742,4.877293103847792e-06,2.8606646218971467e-06,7.760552013804295,4.389756740677448,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1197,0.2,IDEKF,0,,5,1.0,5.594860907518203,1589631340.9500043,10263269.105710983,975404746010443.2,2214.2047835873295,3.662001147314611e-05,1.8119856673566528e-05,120.7948095552205,39.34862018833153,5.0,5,3.100574075818403e-17,1.2421107841126757e-16,nonlin_cubic,2,2
fixed_updates,1198,0.2,EKF,0,,5,1.0,2.39480749928655,5236127.466009315,3303602.6356135095,12559632962002.121,164800.62445021042,4.1614948749685675e-06,1.5409216773673475e-06,3.7764856891005265,1.735697613572623,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1198,0.2,SR-EKF,0,,5,1.0,2.3721308586849488,6737248952.980574,3303602.6356136315,12559647963533.793,164800.6244505433,1.425451185346868e-06,1.3478645565216673e-06,2697.2732731300066,1.7356976135720912,nan,nan,nan,nan,nonlin_cubic,2,2
fixed_updates,1198,0.2,IDEKF,0,,5,1.0,2.768759032560061,6281401.385853053,3299423.3089047316,16324231262894.896,64398.61155116225,8.978365814347761e-06,6.208092489661706e-06,10.30642299479447,8.34792065668959,5.0,5,3.3662997618075003e-17,8.700163038241132e-17,nonlin_cubic,2,2
fixed_updates,1199,0.2,EKF,0,,5,1.0,1.1698822891782201,1102268.5468201311,619443.0678957922,887246.3527591222,40330.17271899473,2.574896478900325e-06,2.130280213167981e-06,8.295698580360062,4.389756740678893,nan,nan,nan,nan,nonlin_cubic,2,2
