experiment_mode,delta,seed,EKF_ARMSE,SR_EKF_ARMSE,IDEKF_ARMSE,EKF_minus_IDEKF,SR_EKF_minus_IDEKF,IDEKF_beats_EKF,IDEKF_beats_SR_EKF
fixed_horizon,0.1,1068,1.2368097703445726,1.205702447932141,2.683404847772842,-1.4465950774282694,-1.477702399840701,0,0
fixed_horizon,0.1,1069,2.7200180497944872,3.4695759082160356,1.8662121393503621,0.8538059104441251,1.6033637688656734,1,1
fixed_horizon,0.1,1070,4.566331149262442,4.565438666657439,1.9205346621418602,2.645796487120582,2.6449040045155785,1,1
fixed_horizon,0.1,1071,0.88793186486037,0.8185727466145167,3.3695886735051013,-2.4816568086447313,-2.5510159268905843,0,0
fixed_horizon,0.1,1072,1.9661495490591534,3.0188282953871406,1.1330434585200946,0.8331060905390588,1.885784836867046,1,1
fixed_horizon,0.1,1073,1.365316893204847,1.7405662472710355,2.784428706228995,-1.419111813024148,-1.0438624589579595,0,0
fixed_horizon,0.1,1074,1.9019840167358784,2.4332087167486933,9.390069758789075,-7.4880857420531965,-6.956861042040382,0,0
fixed_horizon,0.1,1075,2.1127475824257425,1.4749961868176846,2.8070587427639384,-0.694311160338196,-1.3320625559462538,0,0
fixed_horizon,0.1,1076,2.894960248618898,1.1235133346531203,2.5104415168642857,0.3845187317546124,-1.3869281822111654,1,0
fixed_horizon,0.1,1077,1.4520584842100186,1.4515404298789025,1.6409168829900556,-0.18885839878003696,-0.18937645311115303,0,0
fixed_horizon,0.1,1078,1.5442582250371735,0.9609082387577111,2.45125857217331,-0.9070003471361363,-1.4903503334155985,0,0
fixed_horizon,0.1,1079,1.3217685668033445,1.3369909973862568,1.6566336332883522,-0.3348650664850077,-0.3196426359020954,0,0
fixed_horizon,0.1,1080,2.003798329921189,1.9146034227779294,2.4817565361343568,-0.477958206213168,-0.5671531133564274,0,0
fixed_horizon,0.1,1081,3.789364390730219,3.789364391442822,2.000853410816849,1.7885109799133696,1.788510980625973,1,1
fixed_horizon,0.1,1082,1.9310795551710989,1.931073251580841,1.7755968373898232,0.15548271778127565,0.15547641419101788,1,1
fixed_horizon,0.1,1083,4.13035376067812,1.926337487452901,7.219328292260228,-3.0889745315821084,-5.292990804807328,0,0
fixed_horizon,0.1,1084,2.656910336573822,1.787488228684097,1.7101798094600744,0.9467305271137476,0.07730841922402254,1,1
fixed_horizon,0.1,1085,1.643932544968399,1.6918531336786111,2.2150312631285978,-0.5710987181601987,-0.5231781294499867,0,0
fixed_horizon,0.1,1086,10.806778494439742,2.8681230526799046,2.097579666875514,8.709198827564228,0.7705433858043906,1,1
fixed_horizon,0.1,1087,1.5781787890521526,1.5336575041751637,1.542347443535977,0.03583134551617562,-0.008689939360813304,1,0
fixed_horizon,0.1,1088,1.0113173242452889,3.0813351653736967,2.207617553043131,-1.196300228797842,0.8737176123305659,0,1
fixed_horizon,0.1,1089,1.4895173080790634,1.4359130244000682,1.614506947419579,-0.12498963934051566,-0.17859392301951083,0,0
fixed_horizon,0.1,1090,2.3836968258792526,2.5428798048489476,2.8865269059285423,-0.5028300800492898,-0.34364710107959473,0,0
fixed_horizon,0.1,1091,1.0861014593230014,1.2102912133154982,1.3589708060952779,-0.2728693467722765,-0.1486795927797797,0,0
fixed_horizon,0.1,1092,2.2155092494389206,3.2556627009714694,3.970925507015319,-1.7554162575763983,-0.7152628060438495,0,0
fixed_horizon,0.1,1093,1.6224010081481854,1.6219411121628013,1.4374537862132242,0.18494722193496127,0.18448732594957717,1,1
fixed_horizon,0.1,1094,4.383303375026769,4.3833033750440835,4.4494099269766245,-0.06610655194985515,-0.066106551932541,0,0
fixed_horizon,0.1,1095,2.0413486105119985,1.9804219761767028,2.2011629250045432,-0.1598143144925448,-0.22074094882784046,0,0
fixed_horizon,0.1,1096,2.0569277189918,2.057526312438858,2.903741750662149,-0.8468140316703492,-0.8462154382232909,0,0
fixed_horizon,0.1,1097,2.8651725033656987,1.696270782537797,2.8353436094911704,0.02982889387452836,-1.1390728269533734,1,0
fixed_horizon,0.1,1098,2.0790841660061696,2.6661264446693322,2.1478808977226067,-0.06879673171643708,0.5182455469467255,0,1
fixed_horizon,0.1,1099,1.5838133137069346,1.4428838187616393,1.9579493278590423,-0.37413601415210773,-0.515065509097403,0,0
fixed_horizon,0.1,1100,1.6095598173299417,1.4793193042068826,2.706873990171065,-1.0973141728411233,-1.2275546859641824,0,0
fixed_horizon,0.1,1101,3.0427217965595523,1.9100275234601585,3.619417955552745,-0.5766961589931925,-1.7093904320925863,0,0
fixed_horizon,0.1,1102,1.7635462397299446,1.764084818357715,3.257137732001797,-1.4935914922718525,-1.4930529136440822,0,0
fixed_horizon,0.1,1103,3.175958767604337,3.1760744555375098,3.127232273539805,0.04872649406453222,0.04884218199770496,1,1
fixed_horizon,0.1,1104,1.2603165433744519,1.0534361551813205,1.3164410831750506,-0.05612453980059873,-0.2630049279937301,0,0
fixed_horizon,0.1,1105,1.7694303516830026,1.7882362191156076,1.8492702566453947,-0.07983990496239213,-0.06103403752978709,0,0
fixed_horizon,0.1,1106,1.46701990448942,2.9405089912623743,1.5072497016638762,-0.04022979717445607,1.4332592895984981,0,1
fixed_horizon,0.1,1107,1.935646034428312,2.5039794308751104,2.182207579745869,-0.24656154531755714,0.32177185112924134,0,1
fixed_horizon,0.1,1108,2.4742345560841295,1.7602743703957513,1.6006732570666489,0.8735612990174806,0.15960111332910243,1,1
fixed_horizon,0.1,1109,1.7194997900307054,2.7250176147638734,1.4262883783078746,0.29321141172283083,1.2987292364559988,1,1
fixed_horizon,0.1,1110,2.1402133370930496,3.520659624954287,2.5960358472880047,-0.4558225101949551,0.9246237776662825,0,1
fixed_horizon,0.1,1111,1.3077376038463542,2.5404709491043107,2.326468440837294,-1.0187308369909398,0.21400250826701672,0,1
fixed_horizon,0.1,1112,2.413569909677512,3.0272242299624126,3.798016353017113,-1.384446443339601,-0.7707921230547004,0,0
fixed_horizon,0.1,1113,1.2749147901335551,1.2820642594510239,1.3075044267847902,-0.03258963665123504,-0.025440167333766306,0,0
fixed_horizon,0.1,1114,3.5077962103576708,1.8661514282320735,3.083551082815297,0.42424512754237353,-1.2173996545832237,1,0
fixed_horizon,0.1,1115,1.4428463532528226,0.9927743098236343,1.10788522598696,0.3349611272658626,-0.1151109161633257,1,0
