seed,delta,case,measurement,sigma,Rmode,metric,include_initial,truth_noise,truth_qscale,P0_scale,x0_perturb,EKF_armse,EKF_time,EKF_failed,EKF_failure_message,SR-EKF_armse,SR-EKF_time,SR-EKF_failed,SR-EKF_failure_message,IDEKF_armse,IDEKF_time,IDEKF_failed,IDEKF_failure_message,SR_minus_IDEKF,IDEKF_percent_improvement_over_SR,IDEKF_beats_SR,EKF_minus_IDEKF
28,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.411937798546,1.51283237495,0,,0.283265531554,1.298539916,0,,1.21829053467,1.31832479197,0,,-0.935025003116,-330.087814775,0,-0.806352736124
29,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.395541512542,1.32591691701,0,,0.283834894808,1.33956083399,0,,0.603043776864,1.257414917,0,,-0.319208882056,-112.462874684,0,-0.207502264321
30,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,2.56936391328,1.48712670803,0,,0.321132002712,1.54778866697,0,,0.402613619728,1.33405483299,0,,-0.0814816170161,-25.3732472404,0,2.16675029355
31,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.326098226914,1.416653416,0,,0.309427247958,1.44909070898,0,,2.01604445013,1.37307141704,0,,-1.70661720217,-551.540697671,0,-1.68994622321
32,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,3.04318845619,1.630464916,0,,0.276842843111,1.45744541701,0,,0.281341595741,1.26728941698,0,,-0.00449875263008,-1.62502038323,0,2.76184686045
33,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.859859351386,1.37626945903,0,,0.285116144495,1.329343708,0,,0.59148924467,1.29088775004,0,,-0.306373100175,-107.455542624,0,0.268370106716
34,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,32.6485023336,1.77845024999,0,,0.288803626485,1.31115079101,0,,0.31365108765,1.23057708301,0,,-0.0248474611653,-8.60358350333,0,32.3348512459
35,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,0.283703943063,1.23647895799,0,,0.26557607137,1.36606124998,0,,1.69057814717,1.228404833,0,,-1.4250020758,-536.570206965,0,-1.4068742041
36,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,3.53053282243,1.53638020903,0,,0.284110746105,1.29780137504,0,,0.77510446166,1.370554208,0,,-0.490993715555,-172.817720655,0,2.75542836077
37,0.01,vdp,nonlin_cubic,0.001,aniso,avg,0,1,10,0.01,1.5 -1.0,3.71999549163,1.587673417,0,,0.322514962011,1.35170108295,0,,0.753084785892,1.26092558302,0,,-0.430569823881,-133.503829154,0,2.96691070573
