split,delta,filter,runs,failures,mean_ARMSE,median_ARMSE,ARMSE_90,ARMSE_95,mean_predicted_ARMSE,mean_posterior_NEES,median_posterior_NEES,mean_predicted_NEES,mean_NIS,strong_direction_RMSE,weak_direction_RMSE,mean_strong_variance,mean_weak_variance,mean_trace_contraction,mean_whitened_H_condition,mean_information_condition,mean_correction_norm
validation,0.1,ID_p10_r2_w1_post3,50,0,326008.10149380774,368974.65089682676,602644.0328509012,707362.6011968674,309326.05116243643,821846877298.7415,414698.9058181599,12011316846422.605,72544286620.77101,16.74166524060128,326007.8910805823,0.0010458718888038663,24365.20913177413,7.061052352721274,22368577.742837857,1820621760271378.0,141404.89684496264
validation,0.1,ID_p1_r0.5_w0_post1,50,0,2.110032085981582,1.7877310742481307,3.140757934454551,3.4418435331090738,2.5717286861371127,136260481218.75783,60892.240849454596,107985296126.22656,499692.39723936806,1.1590942851998374,1.7388867125432748,2.7361688429446443e-05,1.641345590762039e-05,0.814594021558485,122051.9700657003,4001417488173.7656,0.41554243994084383
validation,0.1,ID_p1_r0.5_w0_post3,50,0,3.426105581318055,2.681793320977075,6.31517837614468,9.132360105086413,2.6892847879846755,66428916934.717674,29138.116840747327,199278054147.07867,383014.9769967556,2.2459975264452106,2.4129565091344785,0.0002778160677765032,7.42364343657312e-05,1.4790135374241853,98666.84573348956,46060243838.309074,1.131880896853192
validation,0.1,ID_p1_r0.5_w10_post1,50,0,3781599.441017085,15508.208607182409,11051086.640833504,11379966.601606565,3663034.554010991,90500318463376.78,81084.20117475692,100829670159960.1,9643422182798.863,15.528147346658207,3781598.9913738803,9.242502159556626e-05,876.9139971699535,2.437536640193475,25920430.368862666,1576363384198680.2,742536.1356248705
validation,0.1,ID_p1_r0.5_w10_post3,50,0,1271370.8633308806,1278337.5088382047,2182986.8682939424,2920082.790436023,1219708.3055262563,5305131666160.002,593880.2180394165,25012334930680.613,533705583406.5857,17.504670029595243,1271370.7170072952,0.00023762317346066666,6171.281197730747,4.9175505837720275,27825266.952187303,1683874627816642.5,370475.66530248657
validation,0.1,ID_p1_r0.5_w1_post1,50,0,931418.79346927,2.514434369961556,8.630166567935962,15.53862334997779,918881.0811316107,77224128226497.98,28462.70622091034,77565787590170.08,8436857798538.826,3.528183695747958,931418.0126709854,8.924135654748748e-05,19.855877109604613,0.8223123663432209,5447898.248668372,140079020599386.94,122845.42508721986
validation,0.1,ID_p1_r0.5_w1_post3,50,0,971210.8346000127,3.3893575402009315,1890272.3587958522,8243989.421430857,839615.5027744612,52515428375647.4,8525.562220315864,362577596129175.4,839137567684.4717,6.726539946652604,971209.9572255191,0.0003710531179778782,391.22210960644856,1.4856891824470155,8400049.393936215,592669942083704.4,232782.45309712406
validation,0.1,ID_p1_r1_w0_post3,50,0,3.4395558381308025,2.677894024973244,6.2901532361718155,9.182495719357172,2.653404616410478,54534548342.11739,27987.95491918325,163600074914.35492,358785.4962065649,2.226571103609249,2.4377975945664385,0.0005512716551215827,0.0001268239389167869,1.521389948368887,94298.24111930197,40540354610.16548,1.0774559024238723
validation,0.1,ID_p1_r1_w10_post1,50,0,3021610.4281756673,11594.464850933055,9336925.649010343,11130162.241448812,2894747.1784760808,12278411341799.572,31147.99167980367,12620704343330.13,1204758727631.5808,12.685431996612715,3021610.051484176,0.0001911188179755942,1680.3416950014484,2.3054809513005305,16855862.368677635,1440054260088757.0,595462.2329891764
validation,0.1,ID_p1_r1_w10_post3,50,0,1405089.5905507652,1548930.944317617,2516924.1295459503,4532984.249741811,1327861.4963248193,1482693895264.9612,739048.449289595,26435833096538.434,147963731662.60596,14.317580189863408,1405089.3758991521,0.00043172797645355936,11996.606820621662,5.220921367674215,18378831.270516936,2223710222628364.2,428218.70476965205
