split,seed,delta,filter,failed,failure_message,posterior_ARMSE,predicted_ARMSE,mean_posterior_NEES,median_posterior_NEES,mean_predicted_NEES,mean_NIS,strong_direction_RMSE,weak_direction_RMSE,mean_strong_variance,mean_weak_variance,mean_trace_contraction,mean_whitened_H_condition,mean_information_condition,mean_correction_norm,name,prior_scale,r_scale,weak_inflation,posterior_scale
tuning,4021,0.1,ID_p3_r1_w0_post1,0,,1.7513454343438553,2.0820495959645755,107855983277.14769,18592.698638968366,323567578367.7003,70836.90110981862,0.7517440213391505,1.5818001633512089,0.00014849416650385865,5.8025786384810616e-05,1.6501321324330298,94895.41546640849,32270185735.802727,0.4010947597944138,ID_p3_r1_w0_post1,3.0,1.0,0.0,1.0
tuning,4021,0.1,ID_p3_r1_w0_post3,0,,3.4802644778041287,4.628623716325746,40963677145.12812,7446.9355538529435,368157793994.7777,230828.11681542598,2.118380523999634,2.7612867998460935,0.0004504704231524907,0.0001820895484143799,3.047294181365834,237925.68780945492,577065786472.2225,0.8110787002315216,ID_p3_r1_w0_post3,3.0,1.0,0.0,3.0
tuning,4021,0.1,ID_p3_r1_w1_post1,0,,2.4676730242313036,2.6470129005224488,359032.6419907086,9086.40286648909,489558001353.2777,55147.440746776934,0.6845999638979521,2.3708085211483843,0.00010112884370812505,0.013699374494412771,1.8624498211970022,81130.68070423228,7740497867.528898,0.6855451012624593,ID_p3_r1_w1_post1,3.0,1.0,1.0,1.0
tuning,4021,0.1,ID_p3_r1_w1_post3,0,,1307714.5817025339,860890.4770028974,1479981247429.2214,1852002.1081417352,1291012255621.161,123041486877.06966,20.388173267164863,1307714.581543601,0.000119429198596428,17088.740871682247,2.0108158401238563,20914964.13153691,3208682195141113.0,286575.9689499283,ID_p3_r1_w1_post3,3.0,1.0,1.0,3.0
tuning,4021,0.1,ID_p3_r1_w10_post1,0,,3382255.992153055,3345583.4788967334,8426484374631.547,277971163.5742813,6461750795248.245,558421243045.8926,27.053154448712117,3382255.9920448624,7.043464080096476e-05,6726.0866667438195,2.857851904260322,37465775.79272666,2030618988452783.2,1307406.5458657253,ID_p3_r1_w10_post1,3.0,1.0,10.0,1.0
tuning,4021,0.1,ID_p3_r1_w10_post3,0,,699775.1660341509,699775.2092811218,5008467028635.918,9924543.348890504,62494037917810.336,510539497528.5745,39.12921492731839,699775.1649401598,0.00035805605008491293,20108.364457218777,6.274560616964045,79676171.59477417,4166986264129518.5,241933.4773337158,ID_p3_r1_w10_post3,3.0,1.0,10.0,3.0
tuning,4021,0.1,ID_p3_r2_w0_post1,0,,1.7809466128868692,2.0299908701542133,110569895138.72824,15521.379210797968,331709602199.3436,68724.60215251442,0.7844473168029885,1.5988787462199268,0.0002819058513070125,8.682316681274797e-05,1.7466991998428445,88608.32470393032,24909934336.365826,0.3322075700355708,ID_p3_r2_w0_post1,3.0,2.0,0.0,1.0
tuning,4021,0.1,ID_p3_r2_w0_post3,0,,2.2627250983834375,2.4818634592570277,381535986.32225597,4819.489395559313,3433822651.8531237,267630.4681108179,0.8446131800031069,2.09917923175211,0.0008922950769713504,0.0003070906038186878,2.701975455006971,73842.26194037146,6966524912.107257,0.5839037874885056,ID_p3_r2_w0_post3,3.0,2.0,0.0,3.0
tuning,4021,0.1,ID_p3_r2_w1_post1,0,,11345563.15325045,11345025.734429924,554186398979269.7,41301751052.35364,66545010723197.19,7148568604538.045,44.4308868167824,11345563.15316345,0.00012536156669398706,6757.682922204505,1.4671722086596097,101753110.64053626,5261446333455183.0,3265305.155011545,ID_p3_r2_w1_post1,3.0,2.0,1.0,1.0
tuning,4021,0.1,ID_p3_r2_w1_post3,0,,4514566.473332914,4443734.595103445,8342890170966.003,1004282676.6498123,8359329305107.789,887504522026.3864,30.378796536744606,4514566.473230704,0.00018909695264327002,31688.376307999737,2.224188174275162,50147652.97133426,2729762103429998.0,1947259.4600900146,ID_p3_r2_w1_post3,3.0,2.0,1.0,3.0
tuning,4021,0.1,ID_p3_r2_w10_post1,0,,2131992.0155805876,2131915.730163763,13354107311047.916,1272389704.038119,13543504477412.45,1502261457651.3796,41.47981327301561,2131992.015177075,0.00013401158335695862,10780.025087763172,3.732174003483725,95854260.26902969,7279782735794507.0,608444.3945134414,ID_p3_r2_w10_post1,3.0,2.0,10.0,1.0
tuning,4021,0.1,ID_p3_r2_w10_post3,0,,733506.3208353347,713456.732536919,2242591743965.465,77539304.3288129,2094121074492.3433,219329569290.62653,36.21971488838365,733506.3199410904,0.00015109771223864701,39512.31350988774,11.91493956077798,71087843.17083892,5755475363211901.0,278688.52161513537,ID_p3_r2_w10_post3,3.0,2.0,10.0,3.0
tuning,4021,0.1,ID_p10_r0.5_w0_post1,0,,2.366051118718786,2.8085001649127226,52097526914.27377,12337.704192194755,520975013037.28455,276545.99247527827,1.2218319951918257,2.0261600311712744,0.00012051408835102808,0.0001147120068779719,2.875027313681083,76167.12031817657,8132079822.73246,1.0543147735978409,ID_p10_r0.5_w0_post1,10.0,0.5,0.0,1.0
tuning,4021,0.1,ID_p10_r0.5_w0_post3,0,,2.736720451782294,2.9261511268372464,4899062112.599896,6822.824287793545,146969799404.9454,19717.790213789318,1.6124428923479506,2.2112590870633086,0.0002526112050890034,0.0003268601319227417,3.8333503162509985,111720.02411540851,22096593013.778828,1.420104486454216,ID_p10_r0.5_w0_post3,10.0,0.5,0.0,3.0
tuning,4021,0.1,ID_p10_r0.5_w1_post1,0,,2875581.015390141,2875580.6715182853,475930055067085.6,2514417043.008326,480186173522269.2,50467389163830.73,46.323772973624735,2875581.0150170187,2.0902874257780893e-05,2479.4171343562966,2.5874456509984607,113436960.98125097,5361695893202150.0,1180136.327685568,ID_p10_r0.5_w1_post1,10.0,0.5,1.0,1.0
tuning,4021,0.1,ID_p10_r0.5_w1_post3,0,,451077.4366524715,451034.6226540661,37440479755434.07,3738449175.252864,37977000208968.11,4013322685489.685,50.97781162632438,451077.4337718827,0.00011963430872405918,9797.61083039431,3.383131291165416,138441400.6075434,7603140340345536.0,182735.4863845342,ID_p10_r0.5_w1_post3,10.0,0.5,1.0,3.0
tuning,4021,0.1,ID_p10_r0.5_w10_post1,0,,838149.505087734,807202.548995564,27517294064171.562,317933736093.68555,27544744838679.387,2563912737206.4727,36.67019211636157,838149.5042855485,6.517125512125646e-06,4047.351425077384,5.370497207499201,73344555.033597,9928123624481892.0,318583.60531413526,ID_p10_r0.5_w10_post1,10.0,0.5,10.0,1.0
tuning,4021,0.1,ID_p10_r0.5_w10_post3,0,,269487.81426597433,234050.3508269324,33972082593045.53,2367066440851.2485,418271410260129.94,3636344690227.91,71.98048368880816,269487.80465294205,1.0171938843328758e-05,13221.227190578866,12.072965959547222,281507409.7745798,6711429600281765.0,152365.555378105,ID_p10_r0.5_w10_post3,10.0,0.5,10.0,3.0
tuning,4021,0.1,ID_p10_r1_w0_post1,0,,2.3034213598677074,2.5566927500272203,33177584085.132713,10203.671197142794,331775769780.7404,205900.19009456108,0.8540964199198677,2.139221649706936,0.00015752119586741486,0.00013523968836077831,2.379183249216516,83946.17393726697,9083728066.687225,0.8315733318817126,ID_p10_r1_w0_post1,10.0,1.0,0.0,1.0
tuning,4021,0.1,ID_p10_r1_w0_post3,0,,2.7152098386297174,2.914563136677399,4888851867.685109,5665.319554745673,146664693749.88837,18731.511791552082,1.5607683269625587,2.2217935766722596,0.0004674514307733426,0.00035848080701983344,4.189750574632296,113339.04980466426,21558156292.211037,1.3766320187860408,ID_p10_r1_w0_post3,10.0,1.0,0.0,3.0
tuning,4021,0.1,ID_p10_r1_w1_post1,0,,3839188.4466091804,3729515.5929813297,10714616621985.785,500467011.9095067,11097469349410.496,731114411664.51,23.81971457866539,3839188.4465352865,3.5389417096719064e-05,5895.5425909612395,1.9894525750418801,28295913.303514667,2933341355267628.0,1676474.5881566526,ID_p10_r1_w1_post1,10.0,1.0,1.0,1.0
