split,delta,candidate,paired_runs,mean_SR_minus_candidate,median_SR_minus_candidate,bootstrap_95_low,bootstrap_95_high,candidate_win_rate,sign_flip_p,wilcoxon_p
tuning,0.1,ID_p1_r1_w1_post3,30,-681170.8669376454,-1.1083325640684971,-1390278.935379553,-108580.44645570416,0.3,0.9671016449177541,0.9807907911017537
tuning,0.1,ID_p1_r2_w0_post1,30,11.428402618715076,0.47783598760738644,-3.8481520800565128,37.927703572023525,0.6,0.25383730813459326,0.06467653810977936
tuning,0.1,ID_p1_r2_w0_post3,30,12.465113474176539,-0.25057091873368187,-0.32564664821373945,37.503139628381476,0.36666666666666664,0.17499125043747812,0.5483867637813091
tuning,0.1,ID_p1_r2_w10_post1,30,-5382016.531335557,-3243898.2520645703,-7465282.646759515,-3266876.8836709587,0.1,1.0,0.9999995008111
tuning,0.1,ID_p1_r2_w10_post3,30,-1146961.8701747458,-876062.9001356674,-1533899.6866859228,-759405.3646731605,0.03333333333333333,1.0,0.9999999972060323
tuning,0.1,ID_p1_r2_w1_post1,30,8.14739917640439,-0.403119186876552,-8.816972435710777,35.93194657947355,0.26666666666666666,0.48782560871956404,0.9666676456108689
tuning,0.1,ID_p1_r2_w1_post3,30,-1158965.092528856,-1.1638455292079106,-2491412.8355419114,-184208.79188727983,0.26666666666666666,0.9961001949902505,0.9961939314380288
tuning,0.1,ID_p3_r0.5_w0_post1,30,12.427306283092292,-0.44851521376583336,-0.3686298074357109,37.38150629757162,0.4,0.18739063046847657,0.532300665974617
tuning,0.1,ID_p3_r0.5_w0_post3,30,11.892720373119454,-0.7236250865259329,-0.8710033737601154,36.73669151966195,0.3333333333333333,0.41307934603269836,0.8200610363855958
tuning,0.1,ID_p3_r0.5_w10_post1,30,-1618349.18384527,-2026451.0481584154,-2029456.54285213,-1234152.2582265232,0.0,1.0,1.0
tuning,0.1,ID_p3_r0.5_w10_post3,30,-616830.3322889303,-686814.0344707733,-703672.7316432628,-520971.1291031799,0.0,1.0,1.0
tuning,0.1,ID_p3_r0.5_w1_post1,30,-1112886.1195225639,-0.9288597799626368,-2296645.2303425507,-168465.75581115668,0.23333333333333334,0.9693515324233788,0.9966802317649126
tuning,0.1,ID_p3_r0.5_w1_post3,30,-2307977.8376640575,-1794802.5696959014,-3020078.7413028358,-1615062.367378604,0.06666666666666667,1.0,0.9999999906867743
tuning,0.1,ID_p3_r1_w0_post1,30,12.30123389962206,-0.13745005189574733,-0.5738137100056566,37.457854289471626,0.4666666666666667,0.2621368931553422,0.5242367628961802
tuning,0.1,ID_p3_r1_w0_post3,30,11.962576064216414,-0.711704522924819,-0.8027992865982329,36.858646952305044,0.3333333333333333,0.3887305634718264,0.7739178286865354
tuning,0.1,ID_p3_r1_w10_post1,30,-1613491.2598242303,-1776958.77356122,-2068472.7035152134,-1167339.607075733,0.0,1.0,1.0
tuning,0.1,ID_p3_r1_w10_post3,30,-650904.0173531051,-679071.9593148062,-740773.769405653,-557852.434344422,0.03333333333333333,1.0,0.9999999990686774
tuning,0.1,ID_p3_r1_w1_post1,30,-373358.367750378,-1.0864504115983546,-933157.8832291913,-367.9481756958563,0.26666666666666666,0.9699015049247538,0.9907352598384023
tuning,0.1,ID_p3_r1_w1_post3,30,-1087605.118318231,-5687.209975435389,-1762408.1534084764,-529964.3714584251,0.1,0.999950002499875,0.9999974276870489
tuning,0.1,ID_p3_r2_w0_post1,30,12.47939670113463,-0.23394104160604012,-0.3013588068150906,37.49639833397235,0.4,0.16604169791510426,0.5080832093954086
tuning,0.1,ID_p3_r2_w0_post3,30,12.012005561003546,-0.7069740021058033,-0.7194855120776051,36.90063658362165,0.3333333333333333,0.37578121093945305,0.6939971931278706
tuning,0.1,ID_p3_r2_w10_post1,30,-1710905.1357523939,-2039414.469395429,-2229900.7409045743,-1272838.2612587176,0.1,1.0,0.9999999906867743
tuning,0.1,ID_p3_r2_w10_post3,30,-727460.3729795426,-669998.4095744252,-881454.885005547,-590845.7659822181,0.0,1.0,1.0
tuning,0.1,ID_p3_r2_w1_post1,30,-1283326.5729086013,-1.466551145710075,-2545094.3333145143,-309023.735395309,0.16666666666666666,0.992300384980751,0.9998436225578189
tuning,0.1,ID_p3_r2_w1_post3,30,-1540658.5547397134,-585321.5315776198,-2218673.382771563,-898355.8298802181,0.13333333333333333,1.0,0.9999995836988091
tuning,0.2,ID_baseline,30,0.15380555083408395,0.007402986178943527,-0.4275066675982161,0.758905363574329,0.5,0.3136343182840858,0.380532736890018
tuning,0.2,ID_p10_r0.5_w0_post1,30,-0.7418780732418842,-0.3839314461650746,-1.607439938581356,-0.005432204687070291,0.3333333333333333,0.9573521323933804,0.9498013220727444
tuning,0.2,ID_p10_r0.5_w0_post3,30,-1.1890494377202183,-1.1859727278119092,-1.9785391218791963,-0.4860402441361901,0.23333333333333334,0.9994000299985001,0.9989899089559913
tuning,0.2,ID_p10_r0.5_w10_post1,30,-535592.5285000069,-729887.9374615256,-663576.3584889303,-405941.27798514615,0.03333333333333333,1.0,0.9999999972060323
tuning,0.2,ID_p10_r0.5_w10_post3,30,-183084.79380688813,-247042.66252949525,-222432.7298812329,-142232.4473183698,0.03333333333333333,1.0,0.9999999990686774
tuning,0.2,ID_p10_r0.5_w1_post1,30,-706860.147589883,-2.7146919240135814,-1203733.5199434329,-299354.54015642597,0.16666666666666666,1.0,0.9999981047585607
tuning,0.2,ID_p10_r0.5_w1_post3,30,-347606.82174806483,-20462.448611454227,-604176.4788562834,-162359.86503930742,0.06666666666666667,1.0,0.999999986961484
tuning,0.2,ID_p10_r1_w0_post1,30,-0.8371635613610398,-0.30164872684350086,-1.723276993894933,-0.11858648202979136,0.3333333333333333,0.9774511274436278,0.9579672608524561
tuning,0.2,ID_p10_r1_w0_post3,30,-1.0649991693906686,-0.9151910814351698,-1.8060050019374232,-0.3915292626589553,0.2,0.9978501074946252,0.9981277836486697
tuning,0.2,ID_p10_r1_w10_post1,30,-420630.43376047496,-355826.90689315426,-550968.4369041636,-290633.20066596556,0.06666666666666667,1.0,0.999999993480742
tuning,0.2,ID_p10_r1_w10_post3,30,-188825.24371836396,-233131.29147646183,-246625.1380810041,-136605.8979012255,0.0,1.0,1.0
tuning,0.2,ID_p10_r1_w1_post1,30,-438885.7696416896,-1.6143051428593744,-917255.2638791001,-80536.40877899746,0.16666666666666666,0.999950002499875,0.9999557174742222
tuning,0.2,ID_p10_r1_w1_post3,30,-383525.09840802936,-64072.11141167203,-593997.3328017605,-209757.30669858982,0.1,1.0,0.9999999906867743
tuning,0.2,ID_p10_r2_w0_post1,30,-1.0088467080862797,-0.457863695121532,-1.867515078227488,-0.3055024618401435,0.3,0.9958002099895005,0.9943484691902995
tuning,0.2,ID_p10_r2_w0_post3,30,-1.1518126705734373,-0.8253007676708541,-1.8193309719850435,-0.5378327312523664,0.2,0.9993500324983751,0.9996667234227061
tuning,0.2,ID_p10_r2_w10_post1,30,-562062.9924487938,-807638.9121915931,-731939.137088653,-393985.6959730725,0.06666666666666667,1.0,0.999999986961484
tuning,0.2,ID_p10_r2_w10_post3,30,-188587.5410258029,-220854.49765008208,-243941.68468758086,-138714.8933399517,0.03333333333333333,1.0,0.9999999981373549
tuning,0.2,ID_p10_r2_w1_post1,30,-304671.0341383731,-1.457559305311887,-803252.9916962611,-1040.1934048436958,0.16666666666666666,0.99990000499975,0.999986557289958
tuning,0.2,ID_p10_r2_w1_post3,30,-230359.9214901323,-1920.5029534522282,-434990.3019880912,-70340.19050459244,0.1,1.0,0.9999999348074198
tuning,0.2,ID_p1_r0.5_w0_post1,30,0.45163000913048507,0.19331084227081696,-0.03124834788069641,0.9985656810656173,0.5666666666666667,0.0527973601319934,0.11427641101181507
tuning,0.2,ID_p1_r0.5_w0_post3,30,-0.5947210100437869,-0.7559429096422514,-1.2207661106496943,-0.06286827114534704,0.36666666666666664,0.983300834958252,0.985337071120739
tuning,0.2,ID_p1_r0.5_w10_post1,30,-2213445.9661007943,-2.39749347071355,-3847651.2223438825,-813937.5305193923,0.13333333333333333,0.999950002499875,0.9999908776953816
tuning,0.2,ID_p1_r0.5_w10_post3,30,-1070001.0597609733,-3899.369256852563,-1820570.7211959818,-482579.35258918925,0.1,1.0,0.999999807216227
tuning,0.2,ID_p1_r0.5_w1_post1,30,-0.7753003789822077,-0.8432778283945985,-1.3993915795084417,-0.19816920743654018,0.23333333333333334,0.9921003949802509,0.9912731656804681
tuning,0.2,ID_p1_r0.5_w1_post3,30,-221381.27910323834,-0.6342117633239022,-657915.1436224497,-0.6749834163748748,0.23333333333333334,0.9984000799960002,0.9986168397590518
tuning,0.2,ID_p1_r1_w0_post3,30,-1.866322039340188,-0.5596929765537206,-4.72313315173913,-0.1697277578994368,0.3,0.9874006299685015,0.9882949283346534
tuning,0.2,ID_p1_r1_w10_post1,30,-1361893.446409567,-1.0397959253331386,-2934766.3461833736,-76147.32823133815,0.2,0.999950002499875,0.9999647159129381
tuning,0.2,ID_p1_r1_w10_post3,30,-1256614.1936304527,-4.968508658921597,-1998632.4439369065,-591553.0720452692,0.1,1.0,0.9999995836988091
tuning,0.2,ID_p1_r1_w1_post1,30,-758.9906090300015,-0.6406778974150322,-2276.212390766169,-0.21296352725598927,0.23333333333333334,0.9864506774661267,0.9861292811110616
tuning,0.2,ID_p1_r1_w1_post3,30,-41839.89397058244,-0.9307610454395676,-125510.46690519038,-0.918954983838966,0.26666666666666666,0.9998000099995,0.9996667234227061
tuning,0.2,ID_p1_r2_w0_post1,30,0.3062541405298713,0.038363149265689955,-0.24044703496877834,0.8868264101113839,0.5333333333333333,0.15664216789160543,0.24492304399609566
tuning,0.2,ID_p1_r2_w0_post3,30,-0.5673458154403728,-0.5880166356957839,-1.130195235926079,-0.04533413484772247,0.3333333333333333,0.9790510474476276,0.9738683262839913
tuning,0.2,ID_p1_r2_w10_post1,30,-1234202.0245437028,-0.9985222540381242,-2790645.884194384,-1885.0213901753516,0.23333333333333334,0.999850007499625,0.9998099533841014
tuning,0.2,ID_p1_r2_w10_post3,30,-745755.146091239,-155.30771954753922,-1385685.2260047204,-208262.93765873375,0.16666666666666666,1.0,0.9999896008521318
tuning,0.2,ID_p1_r2_w1_post1,30,-0.6719781520584023,-0.6595292006729957,-1.387499359605769,-0.08612418446965402,0.3,0.9745512724363782,0.9738683262839913
tuning,0.2,ID_p1_r2_w1_post3,30,-285018.1389993332,-0.9515905551303002,-854949.2331639528,-1.0838908908362626,0.23333333333333334,1.0,0.9992083581164479
tuning,0.2,ID_p3_r0.5_w0_post1,30,-0.5698525227314082,-0.3695875027677785,-1.1949360822462505,-0.0030771689481887254,0.3333333333333333,0.9640517974101295,0.9666676456108689
tuning,0.2,ID_p3_r0.5_w0_post3,30,-0.7367866840002854,-0.37534159485067065,-1.526494944334423,-0.07682853772683514,0.3333333333333333,0.9731013449327534,0.9616393921896815
tuning,0.2,ID_p3_r0.5_w10_post1,30,-2134061.833567064,-1332663.2959315865,-3159822.235687982,-1226460.3806629276,0.06666666666666667,1.0,0.9999999906867743
tuning,0.2,ID_p3_r0.5_w10_post3,30,-656995.0074268918,-823151.3262679589,-810768.0766709778,-500759.4354910937,0.0,1.0,1.0
tuning,0.2,ID_p3_r0.5_w1_post1,30,-2068.8149211718255,-0.7231387900776867,-6181.797272934489,-2.322030148651947,0.23333333333333334,0.999850007499625,0.9998436225578189
tuning,0.2,ID_p3_r0.5_w1_post3,30,-424059.9751761967,-1.4472235227537151,-1019593.8056171607,-7224.667010288891,0.16666666666666666,0.999950002499875,0.9999847523868084
tuning,0.2,ID_p3_r1_w0_post1,30,-0.7598470694823981,-0.7510618900949826,-1.4027127397142092,-0.1917293987294055,0.36666666666666664,0.9905004749762512,0.9907352598384023
tuning,0.2,ID_p3_r1_w0_post3,30,-0.7937732657281653,-0.38035279965376767,-1.5864788030646495,-0.14798888119365528,0.3,0.9849007549622519,0.9817825015634298
tuning,0.2,ID_p3_r1_w10_post1,30,-566273.6320515958,-3.050069038803369,-1093071.4356636116,-175656.83647154566,0.16666666666666666,1.0,0.9999977890402079
tuning,0.2,ID_p3_r1_w10_post3,30,-598955.0252417009,-723474.3140590441,-782969.928651163,-408780.91208111495,0.03333333333333333,1.0,0.9999999990686774
tuning,0.2,ID_p3_r1_w1_post1,30,-467968.50612373935,-0.8379726723806226,-1147538.603292452,-2.4702592349487507,0.2,0.999850007499625,0.9998841816559434
tuning,0.2,ID_p3_r1_w1_post3,30,-133100.61576610553,-1.3531320829324578,-374451.41015973967,-1359.777957138434,0.13333333333333333,1.0,0.9999930169433355
tuning,0.2,ID_p3_r2_w0_post1,30,-0.5414932082422655,-0.6195632184661596,-1.1565134282705556,-0.024850420679301554,0.4,0.9705014749262537,0.9738683262839913
tuning,0.2,ID_p3_r2_w0_post3,30,-0.7391494057522433,-0.1253147877930878,-1.556391389091934,-0.06542464650351001,0.43333333333333335,0.9735513224338783,0.9429116630926728
